,Project ID,Project Name,Project Type,Project Subtype,Country Name,Country Code (ISO3),Region,Decision to Build or FBC (YYYY),Completion/Opening (YYYY),Completion/Opening (DD/MM/YYYY),"Actual Cost, millions (local currency)","Currency, Year (Actual Cost)",Mainline Length (km),Number of Stations (Rail only)
186,12453,Salt Lake City Blue Line (Original),Rail,Light Rail Transit,United States of America,USA,North America,,1999,12/1/1999,295.0,"USD, 1998",24.2,16
187,12464,Salt Lake City Blue Line Draper Extension,Rail,Light Rail Transit,United States of America,USA,North America,,2013,8/1/2013,146.0,"USD, 2013",6.1,3
188,12467,Randstadrail (excl bus line),Rail,extension; partly uses former heavy rail link,netherlands,NLD,Europe,2002.0,2007,10/1/2007,1141.0,"EUR, 2007",68,73
189,12472,"Regional Fast Rail, Vic",Rail,,Australia,AUS,Oceania,,,2/3/2006,750.0,AUD 2005,500,
190,12473,Regional Rail Link Melbourne,Rail,,Australia,AUS,Oceania,39995.0,2014,6/1/2015,3650.0,AUD 2014, 47.5,5
191,12475,Salt Lake City Green Line (Airport Extension),Rail,Light Rail Transit,United States of America,USA,North America,,2013,8/1/2013,350.0,"USD, 2011",9.7,6
192,12479,Riekerpolder-Schiphol-Hoofddorp; 4/6/4-sporig,Rail,passenger and freight,Netherlands,NLD,Europe,1991.0,2001,1/1/2001,382.07,"EUR, 1995",11,
193,12480,"Riksrevisionen 2011, data for 28 proj, 110622 bf em buhl reconstruct dataset",Rail,,Sweden,SWE,Europe,,,,,,,
194,12482,"Ringbanen, Copenhagen",Rail,rapid transit,Denmark,DNK,Europe,,,,,,,
195,12486,Salt Lake City Green Line (West Valley Extension),Rail,Light Rail Transit,United States of America,USA,North America,,2011,8/1/2011,370.0,"USD, 2010",8.2,4
196,12490,"Rio Metro Line 2 Extension, Rio de Janeiro, 2008 - 2009",Rail,Metro,Brazil,BRA,South America,,2009,12/1/2009,280.0,USD,1.3,
197,12495,"Rotterdam metro (oord – Zuidlijn (North – South,  Erasmuslijn or Line A)",Rail,Metro,Netherlands,NLD,Europe,1962.0,1970,1/1/1970,168.1,"USD, 1970",,
198,12503,RP1 Tångaberg Varberg,Rail,Highspeed,Sweden,SWE,Europe,1990.0,1998,1/1/1998,227.0,"SEK, 2002",6.4,
199,12505,RP2 Kallhäll Kungsängen,Rail,Conventional,Sweden,SWE,Europe,1990.0,2003,1/1/2003,1535.0,"SEK, 2002",7,
200,12506,RP3 Söderhamn Enånger,Rail,Highspeed,Sweden,SWE,Europe,1993.0,2000,8/1/2000,866.0,"SEK, 2002",30,
201,12507,RP4 Degerön Stenstorp,Rail,Conventional,Sweden,SWE,Europe,1993.0,2001,1/1/2001,502.0,"SEK, 2002",15,
202,12509,Salt Lake City Red Line (Original),Rail,Light Rail Transit,United States of America,USA,North America,,2001,12/1/2001,94.0,"USD, 2001",3.7,8
203,12531,San Francisco BART Warm Springs,Rail,Heavy Rail,United States of America,USA,North America,,2017,3/1/2017,750.0,"USD, 2013",8.7,1
204,12542,San Francisco Coliseum-Oakland International Airport Line,Rail,Heavy Rail,United States of America,USA,North America,,2014,11/1/2014,484.0,"USD, 2012",5.2,2
205,12553,San Francisco eBART,Rail,Commuter Rail,United States of America,USA,North America,,2018,5/1/2018,525.0,"USD, 2014",16.3,1
206,12564,Seattle 1 Line - Initial Segment,Rail,Light Rail Transit,United States of America,USA,North America,,2009,7/1/2009,2558.0,"USD, 2006",25.1,14
207,12575,Seattle Angle Lake Extension,Rail,Light Rail Transit,United States of America,USA,North America,,2016,9/1/2016,331.0,"USD, 2015",2.6,1
208,12586,Seattle U-Link,Rail,Light Rail Transit,United States of America,USA,North America,,2016,3/1/2016,1756.0,"USD, 2013",5.1,2
209,12597,Seville Line 1,Rail,Light rail,Spain,ESP,Europe,,2009,4/1/2009,892.0,"EUR, 2006",18.2,22
210,12610,Seville Sevilla Tram,Rail,Metro,Spain,ESP,Europe,,2007,10/1/2007,53.0,"EUR, 2007",2.2,5
211,12621,Stockholm Citybanan,Rail,Commuter Rail,Sweden,SWE,Europe,,2017,7/1/2017,18510.0,"SEK, 2013",7.4,2
212,12632,"Strasbourg 2007-08 Extension (Extension of Line B, C, and D)",Rail,Light rail,France,FRA,Europe,,2008,5/1/2008,398.0,"EUR, 2007",12.8,22
213,12643,Strasbourg Line B,Rail,Light rail,France,FRA,Europe,,2000,9/1/2000,285.0,"EUR, 1999",12.6,24
214,12664,S201 Katrineholm Sommen,Rail,Conventional,Sweden,SWE,Europe,1990.0,1994,1/1/1994,507.0,"SEK, 1994",,
215,12665,Tenerife Line 1 Tram,Rail,Light rail,Spain,ESP,Europe,,2007,6/1/2007,256.0,"EUR, 2006",12.3,21
216,12666,"Sacramento LRT, 1981-1987",Rail,Light rail,United States of America,USA,North America,1981.0,1987,1/1/1987,188.0,"USD, 1988",18.3,28
217,12668,"Sacramento South LRT Phase 1, 1996-2003",Rail,Light rail,United States of America,USA,North America,1996.0,2003,9/1/2003,218.6,"USD, 2003",10.14,7
218,12670,"Salt Lake City I-15/State St South LRT, 1990-1999",Rail,Light rail,United States of America,USA,North America,1990.0,1999,12/1/1999,298.5,"USD, 1997",24.1,16
219,12672,"Salt Lake City Medical Center LRT extension, tilføj Utah Transit Authority 2006, ridership, 1997-2003, OVERLAP",Rail,Light rail,United States of America,USA,North America,1997.0,2003,9/29/2003,83.6,"USD, 2002",2.5,
220,12674,"San Diego El Cajon LRT extension, 1985-1989",Rail,Light rail,United States of America,USA,North America,1985.0,1989,6/1/1989,102.7,"USD, 1987",17.9,8
221,12675,"San Diego Mission Valley East LRT Extension, 1997-2005",Rail,Light rail,United States of America,USA,North America,1997.0,2005,7/1/2005,506.2,"USD, 2004",9.5,4
222,12676,Tenerife Line 2 Tram,Rail,Light rail,Spain,ESP,Europe,,2009,5/1/2009,55.0,"EUR, 2009",3.6,6
223,12678,"San Diego trolley South Line (now: Blue Line), 1975-1989",Rail,Light rail,United States of America,USA,North America,1975.0,1989,1/1/1989,116.6,"USD, 1979",21.7,17
224,12681,"San Francisco BART, 1962-1974",Rail,Heavy Rail,United States of America,USA,North America,1962.0,1974,1/1/1974,3055.5,"USD, 1974",115.07,
225,12685,"San Jose Guadalupe corridor LRT, 1981-1991",Rail,Light rail,United States of America,USA,North America,1981.0,1991,4/1/1991,380.3,"USD, 1987",32.2,28
226,12686,"San Jose-Tasman West LRT, 1991-1999",Rail,Light rail,United States of America,USA,North America,1991.0,1999,12/1/1999,325.2,"USD, 1997",12.2,12
227,12687,Toronto Sheppard,Rail,Heavy Rail,Canada,CAN,North America,,2002,11/1/2002,934.0,"CAD, 1998",5.5,5
228,12689,"Santa Clara Capitol Line, 1999-2004; 110804 krause em bf",Rail,Conventional,United States of America,USA,North America,1999.0,2004,1/1/2004,162.5,"USD, 2003",5.3,4
229,12690,"Santa Clara Tasman East Line, 1992-2001; 110804 krause em bf",Rail,Conventional,United States of America,USA,North America,1992.0,2001,1/1/2001,276.2,"USD, 2000",7.9,7
230,12691,"Santa Clara Tasman West Line, 1992-1999; 110804 krause em bf",Rail,Conventional,United States of America,USA,North America,1992.0,1999,1/1/1999,280.6,"USD, 1999",12.1,11
231,12692,"Santa Clara Vasona Line, 1999-2005; 110804 krause em bf",Rail,Conventional,United States of America,USA,North America,1999.0,2005,1/1/2005,316.8,"USD, 2004",8.4,8
232,12694,"Santiago Metro, 1966 -1975",Rail,Metro,Chile,CHL,South America,1966.0,1975,9/1/1975,,,103,
233,12696,"Santo Domingo metro, na-2009",Rail,Metro,Dominican Republic,DOM,South America,,2009,1/1/2009,700.0,USD,14.5,16
234,12698,Toronto Spadina Subway Extension,Rail,Heavy Rail,Canada,CAN,North America,,2017,12/1/2017,3200.0,"CAD, 2013",8.6,6
235,12699,"Sao Paulo Metro, na-1974",Rail,Metro,Brazil,BRA,South America,,1974,9/1/1974,,,74.3,
236,12703,Seaford Rail Link Adelaide,Rail,Conventional,Australia,AUS,Oceania,,,2/1/2014,291.0,AUD 2013,5.7,2
237,12704,"Seattle Central Link, 2000-2009",Rail,Light Rail Transit,United States of America,USA,North America,2000.0,2009,12/1/2009,2558.0,"USD, 2009",15.6,
238,12709,Toulouse Line A - Extension,Rail,Metro,France,FRA,Europe,,2003,12/1/2003,187.5,"EUR, 2002",2.2,3
239,12713,Seoul Incheon (total of 1st and 2nd phase): All information except the lendth in row 37 seem to correspond to the total of the 1st and 2nd phase of AREX. I included seperately the total figures as a separate row just in case.,Rail,Conventional,Republic of Korea,KOR,Asia,,,,,,61,
240,12715,Seoul Metro,Rail,Metro,Republic of Korea,KOR,Asia,1970.0,1974,1/1/1974,1760000.0,KRW,116.5,117
241,12721,Toulouse Line A - Initial,Rail,Metro,France,FRA,Europe,1989.0,1993,6/1/1993,591.0,"USD, 1991",9.7,15
242,12723,"Shanxi-Xiaoliu Railway, 1989-1993",Rail,Conventional,China,CHN,Asia,1989.0,1993,11/1/1993,236.6,"CNY, 1989",116,4
243,12728,Sheung Shui to Lok Ma Chau Spur Line,Rail,Metro,"China, Hong Kong Special Administrative Region",HKG,Asia,2002.0,2007,8/15/2007,,,7.4,
244,12730,"Shinkansen Joetsu: Omiya-Niigata, 1971-1982",Rail,Highspeed,Japan,JPN,Asia,1971.0,1982,11/1/1982,2397.0,"JPY, 1982",296.5,34
245,12731,"Shinkansen Kyushu south, Kagoshima-Yatsushiro, 1991-2004",Rail,Highspeed,Japan,JPN,Asia,1991.0,2004,3/1/2004,,,127,
246,12732,Toulouse Line B,Rail,Metro,France,FRA,Europe,,2007,6/1/2007,968.0,"EUR, 2004",15.7,20
247,12733,"Shinkansen Sanyo: Shin-Osaka-Hakata, 1967-1975",Rail,Highspeed,Japan,JPN,Asia,1966.0,1975,3/1/1975,1415.0,"JPY, 1975",553.7,118
248,12734,"Shinkansen Tohoku: Tokyo-Morioka, 1971-1991 (Omiya-Morioka section)",Rail,Highspeed,Japan,JPN,Asia,1971.0,1991,6/1/1991,3600.0,"JPY, 1982",496.5,
249,12735,"Shinkansen Tokaido: Tokyo-Shin-Osaka, 1959-1964",Rail,Highspeed,Japan,JPN,Asia,1959.0,1964,10/1/1964,,,515.4,
250,12739,SIKA01,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
251,12741,SIKA02,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
252,12743,Toulouse Tram T1 - Extension,Rail,Light rail,France,FRA,Europe,,2013,12/1/2013,115.0,"EUR, 2013",4,6
253,12744,SIKA03,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
254,12746,SIKA04,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
255,12748,SIKA05,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
256,12750,SIKA06,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
257,12752,SIKA07,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
258,12754,Toulouse Tram T1 - Initial,Rail,Light rail,France,FRA,Europe,,2010,12/1/2010,212.0,"EUR, 2009",10.9,18
259,12755,SIKA08,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
260,12757,SIKA09,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
261,12759,SIKA10,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
262,12761,SIKA11,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
263,12763,SIKA12,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
264,12765,Toulouse Tram T2,Rail,Light rail,France,FRA,Europe,,2015,4/1/2015,74.0,"EUR, 2014",2.4,3
265,12766,SIKA13,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
266,12768,SIKA14,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
267,12770,SIKA15,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
268,12772,SIKA16,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
269,12774,SIKA17,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
270,12776,Trenton Southern NJ Light Rail Transit System,Rail,Light Rail Transit,United States of America,USA,North America,,2004,3/1/2004,699.0,"USD, 2002",45.1,21
271,12777,SIKA18,Rail,Conventional,Sweden,SWE,Europe,,1997,1/1/1997,,,,
272,12787,Turin Line 1 (Phase 3),Rail,Metro,Italy,ITA,Europe,2001.0,2007,,,,3.6,6
273,12798,Turin Line 1 (initial) This project does not exist in the source database ,Rail,Metro,Italy,ITA,Europe,,2006,2/1/2006,600.0,"EUR, 2006",9.5,15
274,12809,Turin Line 1 south extension,Rail,Metro,Italy,ITA,Europe,2012.0,2021,4/1/2021,193.0,"EUR, 2017",1.7,2
275,12813,Singapore metro Bukit Panjang LRT Line,Rail,Light rail Transit,Singapore,SGP,Asia,1996.0,1999,11/6/1999,,,7.6,13
276,12814,"Singapore metro East-West line (phase 2: extension), 1996-2001",Rail,Metro,Singapore,SGP,Asia,1996.0,2001,1/1/2001,,,6,
277,12815,"Singapore metro North-South and East-West lines (phase 1), 1982-1987",Rail,Metro,Singapore,SGP,Asia,1982.0,1987,1/1/1987,,,67,
278,12816,Singapore metro Punggol LRT system,Rail,Light rail Transit,Singapore,SGP,Asia,2000.0,2005,1/29/2005,,,10.3,14
279,12817,"Singapore metro Sengkang LRT system, 2000-2002",Rail,Light rail Transit,Singapore,SGP,Asia,2000.0,2003,1/18/2003,,,11,12
280,12818,"Singapore North-East Line, 1996-2003",Rail,Metro,Singapore,SGP,Asia,1996.0,2003,6/1/2003,5000.0,"SGD, 2003",20,16
281,12820,"Tyne-and-Wear Tyne and Wear Metro (Initial Phase, 1991 Extension, and 2002 Extension)",Rail,Light Rail Transit,United Kingdom,GBR,Europe,1980.0,2002,1/1/2002,397.0,"GBP, 1991",77,57
282,12821,Sky Plaza Platform (SKP) ,Rail,Conventional,"China, Hong Kong Special Administrative Region",HKG,Asia,,,,11.90256319,,,
283,12822,"SkyTrain Expo Line, Vancouver",Rail,Light rail,Canada,CAN,North America,,1986,1/1/1986,,,28.9,
284,12832,Vancouver Canada Line,Rail,Heavy Rail,Canada,CAN,North America,,2009,8/1/2009,2000.0,"CAD, 2007",19,16
285,12835,South Island Line (East) (SIL),Rail,Metro,"China, Hong Kong Special Administrative Region",HKG,Asia,2011.0,2016,,1976.741182,,7.4,5
286,12841,South West Rail Link Sydney,Rail,Metro,Australia,AUS,Oceania,,,,25000.0,AUD 2023,24,7
287,12842,South Yorkshire Supertram Meadowhall interchange,Rail,Heavy Rail,United Kingdom,GBR,Europe,1989.0,1990,9/4/1990,12.9,"EUR, 1995",,
288,12843,Vancouver Millennium Line - Initial,Rail,Heavy Rail,Canada,CAN,North America,,2002,8/1/2002,1200.0,"CAD, 2001",20.5,10
289,12845,"Southern Cross station redevelopment, 2002-2006, Melbourne, se Victorian Auditor-General 2007 for data",Rail,Airport rail link,Australia,AUS,Oceania,2002.0,2006,1/1/2006,700.0,"AUD, 2002",,
290,12854,Vancouver Millennium Line Evergreen Extension SkyTrain,Rail,Heavy Rail,Canada,CAN,North America,,2016,12/1/2016,1431.0,"CAD, 2014",10.9,4
291,12855,"St. Louis Metrolink initial LRT system, 1984-1993",Rail,Light rail,United States of America,USA,North America,1984.0,1993,7/1/1993,11.5,"USD, 1993",,
292,12856,"St. Louis St. Clair Metrolink LRT extension, GAO 98, 1995-2001",Rail,Light rail,United States of America,USA,North America,1995.0,2001,5/1/2001,10.2,"USD, 2001",,
293,12858,"Sthlm S–Årstaberg, 2005",Rail,Conventional,Sweden,SWE,Europe,1994.0,2005,1/1/2005,1660.0,"SEK, 2005",,
294,12859,Stockholm - Arlanda Express,Rail,Airport rail link,Sweden,SWE,Europe,,1999,1/1/1999,,,39,
295,12860,Stockholm Arlanda airport link,Rail,Airport rail link,Sweden,SWE,Europe,1995.0,1999,10/1/1999,305.0,"SEK, 2007",40,
296,12861,"Stockholm, 2006",Rail,Conventional,Sweden,SWE,Europe,2004.0,2006,1/1/2006,126.1,"SEK, 2006",,
297,12862,"Stockholm, 2007",Rail,Conventional,Sweden,SWE,Europe,2004.0,2007,1/1/2007,485.7,"SEK, 2007",,
298,12865,Vienna Line 1 extension,Rail,Metro,Austria,AUT,Europe,,2017,9/1/2017,600.0,"EUR, 2015",4.7,5
299,12866,"Super Express, Taipei-Kaohsiung; 110819 bf em krause check yu and johannesson 2010 for data",Rail,Highspeed,Taiwan,TWN,Asia,,2008,1/1/2008,15000.0,"USD, 2008",345,
300,12868,Svendborgbanen upgrade,Rail,Conventional,Denmark,DNK,Europe,,,,,,,
301,12869,Sydney airport link,Rail,Airport rail link,Australia,AUS,Oceania,,,5/21/2000,900.0,AUD 1999,10,2
302,12876,Vienna Line 2 extension,Rail,Metro,Austria,AUT,Europe,2010.0,2013,10/1/2013,320.0,"EUR, 2012",4.2,3
303,12884,"Taipei-Zuoying, 1999-2007",Rail,Highspeed,Taiwan,TWN,Asia,1999.0,2007,1/5/2007,466.0,"TWD, 2007",345,8
304,12887,Vitoria Gasteiz tram ,Rail,Light rail,Spain,ESP,Europe,,2008,12/1/2008,100.0,"EUR, 2007",7.2,18
305,12898,"Washington, DC Green Line from Anacostia to Branche Avenue",Rail,Heavy Rail,United States of America,USA,North America,,2001,1/1/2001,850.0,"USD, 1998",10.7,5
306,12909,"Washington, DC Green Line Mid-City Segment U Street to Fort Totten",Rail,Heavy Rail,United States of America,USA,North America,,1999,9/1/1999,596.0,"USD, 1996",4.7,2
307,12920,"Washington, DC Red Line Wheaton to Glenmont",Rail,Heavy Rail,United States of America,USA,North America,,1998,7/1/1998,244.0,"USD, 1996",2.5,1
308,12931,"Washington, DC Silver Line phase 1",Rail,Heavy Rail,United States of America,USA,North America,,2014,7/1/2014,2982.0,"USD, 2012",18.8,5
309,12943,Waterloo Ion Light Rail,Rail,Light Rail Transit,Canada,CAN,North America,,2019,6/1/2019,868.0,"CAD, 2017",19,19
310,12954,Zaragoza Zaragoza Tram,Rail,Light rail,Spain,ESP,Europe,,2011,4/1/2011,400.0,"EUR, 2010",12.8,25
311,12980,"Tokyo OEDO line - loop section, 1987-2000",Rail,Metro,Japan,JPN,Asia,1987.0,2000,12/1/2000,,,27.8,38
312,12981,Tokyo-Narita; Narita Express (110930 cantarelli em flyvbjerg),Rail,Airport link ,Japan,JPN,Asia,1978.0,1991,1/1/1991,,,51,
313,12982,Tokyo-Narita; Skyliner (110930 cantarelli em flyvbjerg),Rail,Airport link ,Japan,JPN,Asia,1997.0,2010,1/1/2010,,,51.34,
314,12985,"Torebo–Hedberg, 2008",Rail,Conventional,Sweden,SWE,Europe,1998.0,2008,1/1/2008,1228.0,"SEK, 2008",,
315,12986,Toronto Bloor Danforth ext,Rail,Conventional,Canada,CAN,North America,1965.0,1968,1/1/1968,83.8,"USD, 1968",,
316,12988,Toronto Bloor Danforth line,Rail,Conventional,Canada,CAN,North America,1958.0,1966,1/1/1966,319.6,"USD, 1966",26.2,31
317,12989,Toronto North Yonge St rail ext,Rail,Conventional,Canada,CAN,North America,1965.0,1973,1/1/1973,141.6,"USD, 1973",,
318,12990,Toronto Sheppard Finch line,Rail,Conventional,Canada,CAN,North America,1968.0,1974,1/1/1974,60.2,"USD, 1974",,
319,12993,"Toulouse VAL Line A, 1985-1993 (Flyvbjerg et al, 2008, 22)",Rail,Metro,France,FRA,Europe,,1993,6/1/1993,591.0,"USD, 2002",9.7,15
320,12999,Tseung Kwan O (TKO) Extension,Rail,Metro,"China, Hong Kong Special Administrative Region",HKG,Asia,,,,2196.501927,,8.8,
321,13001,Tsim Sha Tsui Extension,Rail,Conventional,"China, Hong Kong Special Administrative Region",HKG,Asia,,,,,,1.1,
322,13004,Tunis Metro,Rail,Light Rail,Tunisia,TUN,Africa,1985.0,,,,,10,11
323,13007,Turin Metro Phase 1,Rail,Metro,Italy,ITA,Europe,,2005,1/1/2005,788.0,"EUR, 2006",9.6,15
324,13010,Tyne and Wear metro,Rail,Metro,United Kingdom,GBR,Europe,1972.0,1984,1/1/1984,103.0,"GBP, 1972",55,44
325,13011,"Tyne and Wear metro, Sunderland extension Pelaw-South Hylton",Rail,Light rail,United Kingdom,GBR,Europe,1999.0,2002,3/1/2002,90.0,"GBP, 1998",20.1,12
326,13048,Utrecht capaciteitsvergroting,Rail,Conventional,Netherlands,NLD,Europe,1992.0,1998,1/1/1998,141.45,"EUR, 1995",5.5,
327,13050,"Vännäs–Bastuträsk, 2008",Rail,Conventional,Sweden,SWE,Europe,2004.0,2008,1/1/2008,837.0,"SEK, 2008",1,
328,13051,"Värnamo - Alvesta, 2007",Rail,Conventional,Sweden,SWE,Europe,1998.0,2007,1/1/2007,124.7,"SEK, 2007",,
329,13053,Airport Link Project Seattle/University Link LRT,Rail,Light Rail Transit,United States of America,USA,North America,2005.0,2016,1/1/2016,1745.7,"USD, 2016",,
330,13073,Västkystrail Hamra Breås,Rail,Conventional,Sweden,SWE,Europe,1990.0,1993,1/1/1993,383.0,"SEK, 1994",,
331,13077,"Vestfoldbanen, Norway (part only)",Rail,Conventional,Norway,NOR,Europe,,2001,1/1/2001,159.0,EUR,17,
332,13079,"Vienna stage 1 (Basic Network/Grundnetz), 1969-1982",Rail,Metro,Austria,AUT,Europe,1969.0,1982,9/1/1982,,,30,
333,13088,"Washington Largo Metrorail Extension, 1996-2004",Rail,Heavy Rail,United States of America,USA,North America,1996.0,2004,12/1/2004,426.4,"USD, 2002",4.99,2
334,13089,"Washington metro, na-1985",Rail,Conventional,United States of America,USA,North America,,1985,1/1/1985,199.9,"USD, 1988",97.4,
335,13092,West Coast Main Line upgrade,Rail,Conventional,United Kingdom,GBR,Europe,,2009,12/1/2009,8764.0,GBP 2009,430,
336,13093,West Island Line (WIL),Rail,Metro,"China, Hong Kong Special Administrative Region",HKG,Asia,2009.0,2015,,2460.661951,"HKD, 2015",3,3
337,13094,West Rail Project,Rail,Metro,"China, Hong Kong Special Administrative Region",HKG,Asia,,2003,12/20/2003,6882.904101,"HKD, 2003",35.7,12
338,13105,Woerden-Harmelen fase 2,Rail,Conventional,Netherlands,NLD,Europe,1998.0,2005,1/1/2005,96.54,"EUR, 1995",9,
339,13108,"Wuhan - Guangzhou line, 1995-2001",Rail,Conventional,China,CHN,Asia,1995.0,2001,6/1/2001,9664.0,"CNY, 1995",890,
340,13116,"Xinxiang-Yanzhou, 1984-1986",Rail,Conventional,China,CHN,Asia,1984.0,1986,12/1/1986,1186.5,"CNY, 1984",305,
341,13121,"Yaogu-Maoming Railway, 1989-1992",Rail,Conventional,China,CHN,Asia,1989.0,1992,3/1/1992,1019.4,"CNY, 1989",231,
342,13126,"Yueshan in Henan province to Xiangan in Hubei Province Line, 1988-1998",Rail,Conventional,China,CHN,Asia,1988.0,1998,3/1/1998,3840.2,"CNY, 1988",490.8,
343,13134,"Zhuzhou-Hangzhou Zhegan Line, 1991-1999",Rail,Conventional,China,CHN,Asia,1991.0,1999,6/1/1999,6839.3,"CNY, 1991",594,
344,13135,Zuidelijke tak Amsterdam,Rail,Conventional,Netherlands,NLD,Europe,1987.0,1993,1/1/1993,163.9,"EUR, 1995",12.5,
345,13138,Newcastle upon Tyne,Rail,Conventional,United Kingdom,GBR,Europe,,,10/1/2022,4.5,GBP 2021,0.75,
346,13164,Baltimore Phase I Rapid Transit,Rail,Rapid Transit,United States of America,USA,North America,1972.0,1987,1/1/1987,1289.0,"USD, 1987",,
347,13169,Aotea Station (2020 contract cost),Rail,Underground station,New Zealand,NZL,Oceania,,2020,1/1/2020,809.65,"NZD, 2020",,1
348,13170,Britomart Station (completed 2003),Rail,Underground station,New Zealand,NZL,Oceania,,2003,1/1/2003,339.8,"NZD, 2020",,1
349,13172,Drury Stations (2020 estimate),Rail,Station,New Zealand,NZL,Oceania,,2020,1/1/2020,495.0,"NZD, 2022",,2
350,13175,Central Florida Commuter Rail Transit – Initial Operating Segment,Rail,Commuter Rail,United States of America,USA,North America,2004.0,2014,7/1/2014,357.2,"USD, 2014",51.5,12
351,13180,Otahuhu Station (completed 2016),Rail,Station,New Zealand,NZL,Oceania,,2016,1/1/2016,30.58,"NZD, 2020",,1
352,13181,Panmure Station (completed 2014),Rail,Station,New Zealand,NZL,Oceania,,2014,1/1/2014,19.68,"NZD, 2020",,1
353,13182,Puhinui Station (completed 2021),Rail,Station,New Zealand,NZL,Oceania,,2021,1/1/2021,68.0,"NZD, 2020",,1
354,13184,Rosedale Station (2017 estimate),Rail,Station,New Zealand,NZL,Oceania,,2017,1/1/2017,74.73,"NZD, 2020",,1
355,13186,Central Mesa Light Rail Extension,Rail,Light Rail Transit,United States of America,USA,North America,2009.0,2015,8/1/2015,196.7,"USD, 2015",4.99,4
356,13197,Dallas Northwest-Southeast Light Rail Project,Rail,Light Rail Transit,United States of America,USA,North America,2000.0,2010,12/1/2010,1406.2,"USD, 2010",46.35,16
357,13226,Berlin U-Bahn,Rail,Metro,Germany,DEU,Europe,,,,275.0,USD,4.6,5
358,13227,Copenhagen Metro Phases 1-3,Rail,Metro,Denmark,DNK,Europe,,2007,1/1/2007,11400.0,"DKK, 2007",21,22
359,13228,Hannover U-Bahn,Rail,Metro,Germany,DEU,Europe,,,,750.0,USD,69,110
360,13229,Hannover U-Bahn extension,Rail,Metro,Germany,DEU,Europe,,,,108.0,USD,2.8,
361,13232,Lyon Ligne D,Rail,Metro,France,FRA,Europe,,1997,1/1/1997,,"EUR, 1997",14,15
362,13235,Paris Meteor (Metro 14) Phase 1,Rail,Metro,France,FRA,Europe,,1998,1/1/1998,1419.0,"USD, 1998",7.2,7
363,13240,Vienna Stage 1,Rail,Conventional,Austria,AUT,Europe,,1984,1/1/1984,,,,
364,13242,Minneapolis Northstar Corridor,Rail,Commuter Rail,United States of America,USA,North America,2000.0,2009,11/16/2009,308.5,"USD, 2009",64,7
365,13253,New York Second Avenue Subway,Rail,Metro,United States of America,USA,North America,1999.0,2017,1/1/2017,4450.0,"USD, 2017",2.7,
366,13264,Norfolk The Tide Light Rail Project,Rail,Light Rail Transit,United States of America,USA,North America,2000.0,2011,1/1/2011,314.6,"USD, 2011",,
367,13275,PhaseI Oceanside Sprinter Light Rail (SanDiego – Oceanside/Escondido),Rail,Light Rail Transit,United States of America,USA,North America,1995.0,2008,3/1/2008,477.6,"USD, 2008",,
368,13297,Pittsburgh North Shore Connector,Rail,Light Rail Transit,United States of America,USA,North America,1999.0,2012,3/1/2012,539.0,"USD, 2012",1.9,3
369,13320,Portland Green Line Light Rail Project,Rail,Light Rail Transit,United States of America,USA,North America,1994.0,2009,1/1/2009,576.0,"USD, 2009",6.5,8
370,13331,Portland Westside/Hillsboro MAX,Rail,Light Rail Transit,United States of America,USA,North America,1982.0,1998,9/1/1998,964.0,"USD, 1998",28.5,20
371,13342,Portland-Milwaukie Light Rail Project,Rail,Light Rail Transit,United States of America,USA,North America,2002.0,2015,1/1/2015,1463.0,"USD, 2015",,
372,13353,Rail Project Minneapolis St. Paul Central Corridor LRT,Rail,,United States of America,USA,North America,2006.0,2014,6/14/2014,926.0,"USD, 2014",15.6,18
373,13386,Salt Lake City Mid-Jordan Light Rail Project,Rail,Light Rail Transit,United States of America,USA,North America,2005.0,2011,9/1/2011,509.8,"USD, 2011",17.06,
374,13397,The Weber County to Salt Lake Commuter Rail Project (Front Runner North),Rail,Commuter Rail,United States of America,USA,North America,2001.0,2008,1/1/2008,614.0,"USD, 2008",,
375,13408,Washington and Multnomah Counties Wilsonville to Beaverton Commuter Rail Project (Westside Express Service),Rail,Commuter Rail,United States of America,USA,North America,2001.0,2009,2/1/2009,162.0,"USD, 2009",23.6573568,5
